z,fixedEffect
-0.36156633,-0.003314456
0.34760055,-0.39314952
0.88402182,-0.004776883
-0.16352265,0.001442244
-0.04874786,-0.065551564
-0.04874786,-0.065551564
1.3568672,0.14137846
0.60268778,0.016213203
-0.3897796,0.052486315
-0.36964595,-0.070643783
-0.27839455,0.14130415
-0.42116997,-0.024593752
-0.29879689,-0.003314456
-0.67808604,-0.003314456
-0.93459409,0.065857626
0.6344521,-0.003314456
0.84702373,0.046596579
0.43012661,0.093087099
0.20434518,0.018197825
-0.043272108,0.040727369
-0.23455539,-0.046684597
0.015136714,0.13046002
0.85672837,0.024758223
1.4356378,-0.025160536
0.38973564,0.068213657
-0.12617885,0.086373389
-0.010861452,-0.040338073
0.78177625,-0.003314456
0.85806733,0.005696669
-0.28748807,-0.10839901
-0.33661103,-0.003314456
0.72620064,-0.003314456
-0.11497197,-0.032296337
-0.12870476,0.031623423
-0.076811559,-0.003314456
-0.12870476,0.031623423
-0.30481046,-0.003314456
0.19090991,0.062711783
-0.27227387,-0.003314456
0.82256097,-0.20511556
0.4904857,-0.003314456
0.93089342,0.089838132
0.35849708,-0.003314456
0.36571029,-0.053442981
-0.58781558,-0.054891869
-0.62077868,-0.18565592
0.30009502,-0.15942296
0.22534598,0.000919482
0.063172929,0.044355754
-0.22343475,0.009939447
-0.24960709,0.007875395
0.47551128,-0.003314456
-0.22768314,-0.003314456
0.1254912,0.091324247
-1.2334603,0.073868699
0.50169194,-0.040243678
0.62445885,-0.003314456
0.58449,0.003658117
0.72605187,0.020701477
0.64364457,-0.003780139
0.49440873,-0.003314456
-0.015946861,-0.003314456
-1.4910548,0.078397028
-1.86271,0.00388633
0.25387928,0.035069935
-0.34307316,-0.003314456
-0.39057344,-0.13527192
0.15104058,0.009276497
-0.23423092,0.006929752
-0.23423092,0.006929752
-0.33356377,-0.089699432
0.31666791,-0.004144074
0.65968102,0.077136166
0.046539903,-0.003314456
0.13506931,0.008257861
0.9315393,-0.003314456
0.27041245,0.056357652
-0.35415959,0.04079406
0.074661314,-0.049889684
0.16550815,-0.003314456
-1.8946208,-0.003314456
0.002232273,-0.017315581
0.14328131,-0.022267338
0.30072951,0.02911705
0.48508447,-0.023228317
-0.21082611,-0.14670072
-0.11629219,-0.031335361
-0.61173654,-0.003314456
-0.50940323,0.099513195
-0.4356527,-0.003314456
0.91418689,0.074649557
-0.15338485,-0.013772856
-0.53333038,-0.003314456
0.41749087,-0.026924986
-0.57016724,0.098446123
0.25358143,0.047181915
-0.8410235,-0.050438475
0.98653728,0.074538201
0.17505248,-0.029350283
-0.60479373,-0.097537786
0.42214674,-0.003314456
0.71752834,0.066286668
0.43990532,-0.045870498
0.53024399,0.076070562
0.32760853,-0.003314456
0.020358343,-0.003314456
0.30216005,0.019396748
-0.12906733,-0.016565911
0.078192972,-0.072266094
0.064632118,-0.083198875
0.014502586,-0.056559984
0.55336267,0.022483226
0.50018108,0.1171916
-0.27691513,-0.020643221
0.03386765,-0.12524627
0.6177029,-0.003314456
0.5606091,-0.003314456
-0.023002982,-0.10965608
-0.009939638,-0.10965608
0.63498145,-0.001426063
0.30556586,0.021259174
-0.28849831,-0.073173955
