pidp,eta_hat,wgt
68010887,-0.203041437,1.42215538
68010887,-1.12303936,1.378843784
68010887,0.010780594,1.327589393
68010887,-0.030790648,1.42838645
68010887,0.1521522,1.363254428
68010887,-0.07339399,1.294279814
68010887,-0.205855771,1.084519625
68010887,0.69482697,1.041710854
68014287,-0.264513486,1.839118242
68014287,-0.231214581,2.098616123
68014291,0.068745343,1.508103132
68014291,0.03334003,1.471789598
68014295,-0.092948464,1.711179852
68014295,-0.243592436,1.95148766
68014299,-0.195822199,1.665697813
68014299,-0.217112794,1.899618506
68020407,-0.047040851,1.027601838
68020407,-0.146575732,0.993078172
68020407,-0.060745529,0.950329661
68020407,0.058820276,0.906588912
68020407,0.095666702,1.130713582
68020407,0.387578126,1.079925776
68020407,-0.071106061,1.026691794
68020407,0.051907826,0.97889781
68020407,0.119641878,0.953478634
68021765,0.093399126,2.428577423
68021765,0.037445008,2.54260397
68021765,0.552751566,2.637961149
68021765,0.23048445,1.186552405
68021765,-0.077518166,1.245649815
68021765,0.307523701,1.327691197
68021765,-0.419103201,1.422650337
68021765,-0.084458332,1.426172972
68021769,0.074496274,0.714586318
68021769,0.074025319,0.748137653
68021769,0.668513691,0.776195645
68021769,0.065307339,0.524204433
68021773,-0.058134691,0.810059726
68021773,0.101695624,0.905393004
68021773,0.612804447,1.033899307
68021773,0.145682942,0.635085344
68021781,0.154290036,0.703747511
68021781,0.202622259,0.786569297
68021781,0.584394548,0.878821552
68021781,0.28655504,0.615030169
68021781,-0.115607852,0.713935494
68021781,0.265130633,0.85679692
68021781,-0.412648137,1.013218164
68021781,-0.249588589,1.064819098
68025847,0.080458406,1.2022295
68025847,0.182731285,1.252243876
68025847,0.124763996,1.235589981
68025847,-0.32711886,1.23319757
68025847,0.45206737,1.447801232
68025847,-0.347599346,1.51544714
68028567,-0.345428833,1.015429616
68028567,0.200644128,1.005446672
68028567,-0.262040724,1.002654672
68028567,0.219675229,1.033252358
68028567,-0.477592148,1.072587609
68028567,0.059412668,1.035095096
68028567,-0.087104872,0.99179405
68028571,-0.282689646,1.250050426
68028571,0.178230102,1.256664753
68028571,-0.281451606,1.253175139
68028571,0.098904113,1.311096668
68028571,-0.53696297,1.325962067
68028571,0.127642343,1.27961278
68028571,-0.031299117,1.23628974
68028575,-0.228656565,1.024362564
68028575,0.773456057,1.090260983
68028575,0.015674428,1.068008184
68028575,0.015334029,1.063934922
68028575,0.059445284,1.316021919
68028575,0.055410638,1.324176788
68028575,0.028521511,1.28493607
68028575,0.013381015,1.233932495
68028575,-0.039212812,1.186886072
68028575,-0.213136311,1.139849663
68028575,-0.200092949,1.114097118
68028575,-0.153175545,1.090151191
68028579,-0.348102558,0.998046398
68028579,0.181312746,1.062251925
68028579,-0.216318728,1.107557654
68028579,-0.004031377,1.251945615
68028583,-0.248137397,1.078547835
68028583,0.295585725,1.084254622
68028583,-0.103749188,1.084696174
68028583,0.212392022,1.148265004
68028583,-0.415171532,1.267355204
68028587,-0.290896839,1.078547835
68028587,0.197835054,1.084254622
68028587,-0.181679983,1.084696174
68028587,0.230144858,1.148265004
68028587,-0.455009586,1.193618059
68028587,0.030778213,1.216765642
68028587,-0.019598166,1.23010993
68029927,0.01045728,0.936012626
68029927,0.074640803,0.900643766
68029927,-0.412626581,0.878649414
68029927,-0.115884251,0.845671177
68029927,-0.210662709,0.953588367
68029931,0.064552968,1.142511487
68029931,0.208916478,1.112058759
68029931,-0.456505807,1.084901571
68029931,-0.16372708,1.053605914
68029931,-0.207268685,1.169511914
68029935,0.117790901,0.908032656
68029935,0.122198701,0.883829832
68029935,-0.42693025,0.864377975
68029935,-0.080165785,0.879677355
68029935,-0.189186225,1.022236228
68029939,0.064905863,1.04502666
68029939,0.144957601,1.017172337
68029939,-0.536688456,0.994785726
68029939,-0.134693288,0.972904861
68029939,-0.174801686,1.104048014
68031967,-0.058449567,1.090471148
68031967,-0.087648951,1.135836244
68031967,0.126757278,1.130053878
68031967,0.259484124,1.124116778
68031967,0.309789195,1.30173409
68031967,-0.208836421,1.288160324
68031967,0.037265546,1.261842489
68031967,-0.139070491,1.220669031
68031967,0.26083494,1.188971758
68031967,-0.187062481,1.108763933
68031967,-0.000347749,1.174376249
68031967,-0.084451336,1.196067214
68035365,-0.004693411,1.564641118
68035365,0.243709002,1.54430294
68035365,0.034112329,1.480311871
68035365,0.368500633,1.552376866
68035365,0.304020364,1.542482853
68035365,-0.335667858,1.589152336
68035365,-0.137738474,1.624901175
68035365,-0.135582515,1.638408422
68035365,-0.201548591,1.799164653
68035365,0.064637619,2.156649351
68035365,-0.048134474,2.465803862
68035367,0.253903529,1.286606312
68035367,0.242280103,1.274936795
68035367,0.275195906,1.249590039
68035367,0.274663203,1.218462706
68035367,0.178192609,1.230065942
68035367,0.150104734,1.155019403
68035367,-0.111203181,1.101684451
68035367,0.080874077,1.03794682
68035367,-0.01827498,0.982351661
68035367,-0.122724429,0.901385188
68035367,-0.484673583,0.868073285
68035367,0.126263284,0.839826345
68036727,0.14185083,1.320221305
68036727,0.338832323,1.358900905
68036727,0.205440712,1.341902733
68036727,0.105180242,1.333037615
68036727,-0.03196515,1.549663067
68036727,0.034293033,1.622068405
68036727,-0.546242719,1.682115436
68036727,0.115851691,1.741297007
68036727,0.066243757,1.782084227
68036727,-0.054879487,2.421542168
68037407,0.159722545,1.221826792
68037407,0.000311725,1.209096074
68037407,-0.14758526,1.203026772
68037407,-0.095224301,1.209365249
68037407,-0.244452979,1.506946564
68037407,-0.490306221,1.627675295
68037407,0.758238674,1.630109668
68037407,-0.103208459,1.594239831
68037407,-0.092395005,1.595469475
68037407,0.04917757,1.557684779
68037411,0.185060272,1.015013337
68037411,0.011037481,1.019701838
68037411,0.077005825,1.017748475
68037411,-0.102199732,1.032643318
68037411,-0.063731386,1.341836452
68037411,-0.442318475,1.571093678
68037411,0.806459194,1.675865173
68037411,-0.406761003,1.745121121
68037411,-0.947145905,1.746467113
68037411,0.315263952,1.835660219
68040127,0.961237035,1.126310349
68040127,0.984322938,1.121051192
68040127,0.256825109,1.09328711
68040127,0.119776591,1.068587899
68041487,0.040748891,0.739114285
68041487,-0.354218111,0.708720267
68041487,0.038356607,0.703078687
68041487,0.149630006,0.680850625
68041487,0.017133915,0.602412641
68041487,0.441409655,0.565659404
68041487,-0.054628349,0.537061989
68041487,0.327440463,0.528968871
68041487,0.444337869,0.507135451
68041487,-0.500366647,0.465336829
68041487,0.387552398,0.450675249
68041487,-0.285784249,0.43877387
68041491,-0.035152082,0.961297989
68041491,-0.356425712,0.932011425
68041491,0.07319448,0.924592435
68041491,0.095686417,0.895361125
68041491,0.029176442,0.951928318
68041491,0.388638775,0.893851101
68041491,0.057549199,0.854900956
68041491,0.396422449,0.842018247
68041491,0.401502815,0.807263613
68041491,-0.298803392,0.74072808
68041491,0.304217932,0.717389584
68041491,-0.345555778,0.698444784
68041495,-0.019107779,0.730283499
68041495,-0.395710768,0.708034933
68041495,-0.035789844,0.704522371
68041495,0.124877632,0.68693161
68041495,0.123561096,0.590816319
68041495,0.320340829,0.559282064
68041495,-0.100403297,0.538022757
68041495,0.228942528,0.548693478
68041499,0.015471923,0.694961309
68041499,-0.391630779,0.673788905
68041499,-0.043560296,0.670446217
68041499,0.185444886,0.653706312
68041499,0.12139169,0.569896698
68041499,0.370270662,0.539479017
68041499,-0.019961429,0.514899075
68041499,0.432604824,0.513508737
68041499,0.602668443,0.511104524
68041499,-0.308461462,0.472783595
68041499,0.265571663,0.464733899
68041499,-0.2987631,0.469469279
68042167,0.210767003,0.955923259
68042167,0.143069292,0.910939574
68042167,0.055027849,0.894334853
68042167,0.01581924,0.875072062
68042167,0.037143849,0.946777701
68042167,-0.063057741,0.889014661
68042167,-0.05595554,0.856273413
68042167,-0.058891144,0.817725003
68042167,-0.143373604,0.773925483
68042167,0.211187479,0.710137725
68042171,0.14478388,0.962573349
68042171,0.189455901,0.909013927
68042171,0.120917231,0.892444253
68042171,0.088115197,0.873222172
68042171,0.069045696,0.952769756
68042171,-0.035372898,0.894641101
68042171,-0.092109202,0.854828954
68042171,0.03293097,0.816345632
68042171,-0.205628343,0.772620022
68042171,0.148007925,0.70893985
68042175,0.156818723,0.87819165
68042175,0.176349238,0.836865902
68042175,0.099157986,0.82381475
68042175,0.127642018,0.812158823
68042175,0.037134719,0.893919587
68042175,0.083136591,0.8462075
68042175,0.076746846,0.820217609
68042175,-0.162890234,0.789332569
68042175,-0.067806026,0.768835902
68042175,0.130653707,0.711191118
68043527,0.553484479,1.084920526
68043527,0.7196625,1.034340262
68043527,0.588675442,0.99797982
68043527,0.139584217,0.960931063
68043527,0.414600277,1.034955621
68043527,-0.182329922,0.966226935
68043527,-1.212886282,0.907464445
68043527,-0.242839503,0.856453598
68043527,0.378969522,0.857114255
68043527,-0.046050038,0.823372066
68044207,-0.63308461,1.182500362
68044207,0.331053193,1.178741336
68044207,0.998025906,1.161126971
68044207,-0.272712583,1.143945456
68044207,-0.892247703,1.375534058
68044207,1.122965672,1.291612506
68044207,0.360665669,1.226313949
68044207,-0.13521251,1.172864437
68044207,0.254446394,1.126091003
68044207,-0.646904522,1.033130765
68044207,-0.295606042,0.973405957
68044211,-0.681307907,0.994341731
68044211,0.365514571,0.980712116
68044211,1.022103478,0.966056943
68044211,-0.174270329,0.951761961
68044211,-0.910465881,1.035666823
68044211,1.102666043,0.972480595
68044211,0.498912155,0.930104077
68044211,-0.143212685,0.889564991
68044211,0.160679959,0.854089439
68044211,-0.674573898,0.783583283
68044211,-0.376995058,0.738284707
68044215,-0.688587998,1.013127685
68044215,0.405754736,0.999240577
68044215,0.960970146,0.987056613
68044215,-0.241534472,0.980235755
68044215,-0.877162868,1.215411067
68044215,1.100338345,1.150539756
68044215,0.386890113,1.106805682
68044215,-0.204331124,1.0669806
68044215,0.34107767,1.064564824
68044215,-0.663028357,0.984547555
68044215,-0.261035364,0.941768825
68044219,-0.790752237,1.013127685
68044219,0.350171964,0.999240577
68044219,0.923301283,0.987056613
68044219,-0.18376284,0.980235755
68044219,-0.937477206,1.215411067
68044219,1.150637703,1.150539756
68044219,0.404985472,1.106805682
68044219,-0.090526429,1.0669806
68044219,0.251401393,1.064564824
68044219,-0.558093504,0.984547555
68044219,-0.309183149,0.941768825
68044887,-0.340725201,1.122308731
68044887,0.045803685,1.141902089
68044887,-0.143862611,1.14427948
68044887,-0.146632008,1.142063856
68044887,0.006660492,1.247693777
68044887,0.175654591,1.25780344
68044887,-0.494858922,1.280612111
68044887,0.421960822,1.256878734
68044887,-0.363683822,1.257848144
68044887,0.090605948,1.173125148
68044887,0.092616418,1.19293189
68044887,0.135433188,1.214965582
68044891,-0.349087984,1.284217596
68044891,0.085977681,1.306637526
68045567,0.094661293,1.052009106
68045567,-0.442858574,1.005029082
68045567,-0.599049652,0.971403182
68045567,0.034974189,0.940235198
68045567,0.296590397,1.060803771
68045567,0.643459934,0.996084034
68045567,0.457625456,0.961813569
68045567,-0.193376881,0.916851521
68045567,0.136596525,0.870945752
68045571,0.187336626,1.05007863
68045571,-0.382040195,1.013845086
68045571,-0.389460415,0.979924262
68045571,0.061800641,0.948482871
68045571,0.47702534,1.059033513
68045571,0.860910675,0.994421721
68045571,0.64253738,0.968984663
68045571,-0.029869722,0.918355167
68045571,-0.093365967,0.869165659
68045571,-0.565866277,0.834949017
68045575,0.301988911,0.958724141
68045575,-0.451312996,0.925642848
68045575,-0.445242217,0.896607399
68045575,0.046550961,0.908118665
68045575,0.411200336,1.038665771
68046247,-0.134878166,1.030392885
68046247,-0.03050601,0.987631381
68046247,0.027602675,0.947070658
68046247,0.047213703,0.908548534
68046247,-0.002759393,1.046497345
68046247,0.088718554,0.978715897
68046251,-0.125380617,0.945875466
68046251,-0.061804071,0.906621516
68046251,-0.096121798,0.869387686
68046251,0.155718329,0.834025323
68046251,-0.003759613,0.969115198
68046251,0.052987613,0.906345725
68046927,0.116830305,1.004323602
68046927,0.191301771,0.94878906
68046927,0.01160924,0.928205609
68046927,-0.098468255,0.90601486
68046927,0.227327647,1.121050954
68046927,-0.054790293,1.059828401
68046927,-0.111081364,1.012665272
68046927,-0.160126015,0.975408852
68046931,0.019162016,0.996766329
68046931,0.1381887,0.950255394
68046931,-0.017570545,0.929640174
68046935,0.065237308,0.952332318
68046935,0.133112494,0.90789479
68046935,-0.034536548,0.890476704
68046935,-0.094879341,0.875613034
68046935,0.439297808,1.108476281
68046935,-0.061313878,1.066637516
68046935,-0.188496109,1.060440063
68046935,-0.102119425,1.04757607
68046939,0.101279239,0.922225296
68046939,0.211978194,0.879192591
68046939,-0.088365686,0.862325132
68046939,-0.147407539,0.847931325
68046939,0.302547266,1.073433042
