pidp,alpha_sim,wgt_indiv
68114255,.016594496,.9902576804161072
68116287,.045901332,1.161431908607483
68116291,.034320261,1.216095447540283
68116295,.059394389,1.162188053131104
68116299,.069966309,1.182750821113586
68120367,-.0011769136,.9434274435043335
68120371,.13159433,1.024936437606812
68120375,-.015424946,1.296077847480774
68121047,.069298021,.7281714081764221
68121051,.066018857,.8290630578994751
68121055,.069776349,.9605860710144043
68121059,.082531966,.9823476076126099
68121727,.034440335,.9865435361862183
68122407,.01809605,1.334855794906616
68122411,.0054798839,1.260905146598816
68122415,.036304802,1.199012637138367
68125127,.067059182,.9940117597579956
68125131,.05404669,1.497116804122925
68125135,.064551413,1.276531219482422
68129887,-.0076893396,1.317806959152222
68129891,-.033573505,1.154177904129028
68131927,.047730073,.9945085048675537
68131931,.083338715,.9341552257537842
68132607,-.035746668,.9211820363998413
68132611,-.033338863,.8816009759902954
68132615,.07682389,.9489573836326599
68133285,-.0093840733,.9048771858215332
68133289,-.019356696,1.00803279876709
68133965,.05643614,.8302001357078552
68133969,.041087311,.8574594259262085
68134647,-.14198799,2.209125757217407
68135327,-.0046910499,1.082309484481812
68136007,-.043381713,1.252433061599731
68136009,.18903029,.9410544037818909
68136013,.16577518,1.294752717018127
68137365,-.15654655,1.08733332157135
68138045,-.10916269,.8037418723106384
68138047,.011174501,.7406771183013916
68138049,-.1011337,.7297645211219788
68138051,-.0158992,.7283311486244202
68140767,.054626584,1.524764776229858
68140771,-.058804736,1.408684730529785
68142127,.097144268,.913797914981842
68142131,.09783034,.9781939387321472
68142135,.11304284,.9499310255050659
68142139,.063063808,1.071391463279724
68142143,.14275786,1.091280817985535
68143487,.038361289,1.044243574142456
68144847,.16348007,.8203340172767639
68144851,.19125646,.6922005414962769
68144855,.21273805,.7922856211662292
68150967,.007623537,.9964308142662048
68150971,.04709563,.9842058420181274
68150975,.015522481,1.653915405273438
68153691,.045977775,.9812221527099609
68153695,.052176051,.9563043713569641
68153699,.043298215,.979187548160553
68153703,.061338332,1.069391846656799
68155059,-.013588358,1.945399880409241
68155063,-.16340615,1.772882699966431
68155727,.04405817,1.137404918670654
68155731,.13524181,.9353344440460205
68157087,.19009256,1.166836738586426
68157767,.09624324,1.022692799568176
68157771,.087854102,1.242297530174255
68159125,.045399312,1.153153777122498
68159129,.045968335,1.062297105789185
68159805,.0013659132,1.164991617202759
68159809,.0024487188,1.134471297264099
68160485,-.20833161,1.220146298408508
68160489,.11002278,1.553998589515686
68160493,-.24509831,1.96507453918457
68163887,.016520444,1.792938351631165
68165927,-.041327771,.8657390475273132
68165931,-.061447632,.8927491307258606
68166607,.022823321,1.323991894721985
68166611,-.035268418,2.121621131896973
68167967,-.029466392,.4756115078926086
68167971,-.033668332,.5684157609939575
68167975,.00831284,.510314404964447
68167979,.0087570222,.502734899520874
68173407,.093706213,.884282648563385
68173411,.072504304,.8889891505241394
68174087,.030009348,1.304426908493042
68174091,.041164454,1.272185087203979
68174767,-.10823931,2.841804265975952
68176127,.35702857,.9606852531433105
68176811,-.026933374,1.121633887290955
68177487,-.022410752,1.497449994087219
68180887,.034859344,.702617883682251
68180891,.030592555,.8430354595184326
68180895,.059680026,1.034196138381958
68180899,.087847546,.8891037702560425
68182927,.0087634567,1.17281174659729
68182931,.0068929479,1.174025535583496
68182935,.02072037,1.032398223876953
68184967,.070473351,.8173424005508423
68184971,.095793828,.6880647540092468
68184975,.13200486,.8367641568183899
68185647,-.042000752,.5760878920555115
68187687,.022106551,1.041365027427673
68187691,.03494304,.9740569591522217
68187695,.046258397,1.501315116882324
68187699,-.027464163,1.466727614402771
68189727,-.018832009,2.035051822662354
68190407,.013785155,1.207678318023682
68190415,-.41251171,1.597076773643494
68191087,.17449006,1.213083744049072
68191091,.0065952917,1.721515893936157
68191099,.051257126,1.784228563308716
68191767,-.081664883,1.084968328475952
68193127,-.09447404,.7873687148094177
68193131,-.14275253,1.60529625415802
68193135,-.0086662723,1.376554846763611
68195167,-.0369527,.8510252237319946
68195171,-.010321822,.8433949947357178
68197207,.032990128,1.710422396659851
68197211,.049032263,1.484155058860779
68197215,.044052966,1.887096643447876
68197219,.077754386,1.708409786224365
68197223,.072306179,1.512748241424561
68197887,-.011368572,1.251722574234009
68197891,.17273371,1.852341532707214
68197895,-.026434381,2.03206467628479
68197899,-.098500125,1.849512934684753
68197903,-.13459779,1.457156896591187
68207407,.13784057,.7597553730010986
68207411,.13369156,.7249652147293091
68209447,.068169482,.4862655997276306
68209451,.06715063,1.058370590209961
68209455,.074208826,.4635444581508636
68209459,.069385998,.4635444581508636
68210807,.070812263,.843858540058136
68211487,.077438906,.9145448803901672
68214887,.34991232,.7756280899047852
68214891,.36936781,.2840198278427124
68216247,.075577952,.7968183159828186
68216251,.073536925,.8726484775543213
68218287,.031079903,.9188869595527649
68218291,.0057457746,.8847761154174805
68221007,-.088925913,1.26236879825592
68222367,.093119532,1.075989246368408
68224407,-.02422655,1.396050572395325
68224411,-.10183161,1.521503925323486
68224415,-.079922467,1.163810729980469
68226447,-.038657695,.9317584037780762
68226451,-.050971378,1.000377655029297
68226455,.014583905,.9446740746498108
68226459,-.022527205,.9309009313583374
68227807,.068527855,.7774364352226257
68229847,-.055981945,2.017371892929077
68230527,-.10881161,.7736811637878418
68230531,-.092869945,.8795949816703796
68230535,-.10135162,.8675737380981445
